epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/latent_balance_loss,train/latent_z_loss,train/latent_aux_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/latent_balance_loss,val/latent_z_loss,val/latent_aux_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
23,2816.35,1.7506,1.67621,0.01435,0.0007,0.00033,1e-05,0.0073,0.54974,0.44863,0.46163,0.26823,1.70062,1.64676,0.01408,0,0,0,0,0.000886404,0.000886404,0.000886404,0.000443202,0.00177281
24,2926.15,1.7434,1.66909,0.01434,0.00064,0.00028,1e-05,0.00671,0.55322,0.44083,0.46354,0.26905,1.696,1.64146,0.01402,0,0,0,0,0.000876305,0.000876305,0.000876305,0.000438152,0.00175261
25,3039.12,1.73796,1.65809,0.0142,0.0008,0.00032,1e-05,0.00834,0.53596,0.44742,0.46549,0.27067,1.69445,1.63866,0.01399,0,0,0,0,0.000865839,0.000865839,0.000865839,0.00043292,0.00173168
26,3207.78,1.73223,1.65859,0.01411,0.00067,0.00031,1e-05,0.00701,0.5517,0.4437,0.4652,0.27201,1.68987,1.63523,0.01395,0,0,0,0,0.000855018,0.000855018,0.000855018,0.000427509,0.00171004
27,3317.52,1.73881,1.65998,0.01399,0.00079,0.00035,1e-05,0.00823,0.55478,0.44305,0.46623,0.27201,1.68854,1.63264,0.01394,0,0,0,0,0.000843851,0.000843851,0.000843851,0.000421925,0.0016877
28,3428.57,1.73198,1.65038,0.01397,0.00077,0.0003,1e-05,0.00796,0.55187,0.44944,0.47019,0.27471,1.69013,1.62467,0.01396,0,0,0,0,0.000832349,0.000832349,0.000832349,0.000416175,0.0016647
29,3542.91,1.70926,1.63069,0.0139,0.00077,0.00028,1e-05,0.00797,0.55873,0.44728,0.46825,0.27421,1.68752,1.62634,0.0139,0,0,0,0,0.000820525,0.000820525,0.000820525,0.000410262,0.00164105
30,3653.8,1.71661,1.62264,0.01387,0.00075,0.0003,1e-05,0.0078,0.55834,0.44799,0.4699,0.27529,1.68177,1.62341,0.01388,0,0,0,0,0.000808389,0.000808389,0.000808389,0.000404194,0.00161678
31,3818.57,1.71878,1.62469,0.01371,0.00065,0.00026,1e-05,0.00674,0.5609,0.45028,0.47186,0.27614,1.68567,1.61784,0.01389,0,0,0,0,0.000795954,0.000795954,0.000795954,0.000397977,0.00159191
32,3933.58,1.71196,1.6254,0.0137,0.00073,0.00028,1e-05,0.00762,0.56488,0.4492,0.47232,0.27648,1.68448,1.61652,0.01388,0,0,0,0,0.000783231,0.000783231,0.000783231,0.000391616,0.00156646
33,4044.3,1.70995,1.61811,0.01363,0.00073,0.00027,1e-05,0.00756,0.56314,0.44941,0.47194,0.27556,1.68265,1.61666,0.01387,0,0,0,0,0.000770234,0.000770234,0.000770234,0.000385117,0.00154047
34,4154.21,1.70122,1.61193,0.01364,0.00083,0.00029,1e-05,0.00856,0.55968,0.45026,0.47203,0.27685,1.68164,1.61328,0.01386,0,0,0,0,0.000756976,0.000756976,0.000756976,0.000378488,0.00151395
35,4269.86,1.69466,1.60755,0.01358,0.00081,0.00031,1e-05,0.00841,0.5674,0.44935,0.47363,0.27774,1.68088,1.61205,0.01386,0,0,0,0,0.000743468,0.000743468,0.000743468,0.000371734,0.00148694
36,4436.23,1.69841,1.60666,0.01354,0.00078,0.0003,1e-05,0.00811,0.56688,0.4505,0.47386,0.27764,1.68023,1.6105,0.01384,0,0,0,0,0.000729725,0.000729725,0.000729725,0.000364863,0.00145945
37,4547.45,1.691,1.60147,0.01356,0.00071,0.00029,1e-05,0.00738,0.56491,0.44654,0.4742,0.27788,1.68076,1.60912,0.01385,0,0,0,0,0.000715761,0.000715761,0.000715761,0.00035788,0.00143152
38,4660.32,1.69416,1.59845,0.01335,0.00064,0.00028,1e-05,0.00666,0.55394,0.45217,0.47535,0.27831,1.68172,1.60669,0.01386,0,0,0,0,0.000701588,0.000701588,0.000701588,0.000350794,0.00140318
39,4772.58,1.68904,1.59711,0.01333,0.00071,0.00027,1e-05,0.00734,0.556,0.4531,0.4747,0.27796,1.68101,1.60822,0.01385,0,0,0,0,0.000687222,0.000687222,0.000687222,0.000343611,0.00137444
40,4882.34,1.68298,1.59452,0.0133,0.00064,0.00025,1e-05,0.00663,0.55115,0.45401,0.47608,0.27841,1.68018,1.6054,0.01384,0,0,0,0,0.000672675,0.000672675,0.000672675,0.000336338,0.00134535
41,5049.92,1.68599,1.59084,0.01331,0.00059,0.00026,1e-05,0.00616,0.56319,0.44977,0.4764,0.2786,1.67829,1.60515,0.01382,0,0,0,0,0.000657963,0.000657963,0.000657963,0.000328982,0.00131593
42,5163.06,1.68285,1.589,0.01335,0.00054,0.00025,1e-05,0.00565,0.55423,0.45183,0.47593,0.27858,1.67851,1.6046,0.01382,0,0,0,0,0.000643101,0.000643101,0.000643101,0.00032155,0.0012862
43,5272.49,1.68014,1.5884,0.01328,0.00064,0.00024,1e-05,0.00662,0.55622,0.45086,0.47632,0.27868,1.67872,1.60324,0.01383,0,0,0,0,0.000628101,0.000628101,0.000628101,0.000314051,0.0012562
44,5386.75,1.68194,1.58262,0.01316,0.00057,0.00025,1e-05,0.00593,0.55564,0.45163,0.47661,0.27897,1.67761,1.60334,0.01382,0,0,0,0,0.000612981,0.000612981,0.000612981,0.00030649,0.00122596
45,5499.23,1.68297,1.58141,0.01317,0.00056,0.00022,1e-05,0.00584,0.56354,0.44711,0.47682,0.27941,1.67751,1.60359,0.01382,0,0,0,0,0.000597754,0.000597754,0.000597754,0.000298877,0.00119551
46,5663.66,1.67508,1.577,0.01306,0.00049,0.00022,1e-05,0.00513,0.56115,0.44882,0.47714,0.27942,1.6773,1.60375,0.01382,0,0,0,0,0.000582435,0.000582435,0.000582435,0.000291218,0.00116487
47,5776.67,1.67004,1.57041,0.01309,0.00053,0.00023,1e-05,0.00556,0.56454,0.45039,0.47704,0.27932,1.67697,1.60362,0.01382,0,0,0,0,0.00056704,0.00056704,0.00056704,0.00028352,0.00113408
48,5888.4,1.66482,1.57134,0.01308,0.00045,0.00021,0,0.00474,0.56699,0.45051,0.47695,0.27925,1.67693,1.60232,0.0138,0,0,0,0,0.000551584,0.000551584,0.000551584,0.000275792,0.00110317
49,5998.78,1.66147,1.56646,0.01311,0.00046,0.00022,0,0.00482,0.56451,0.45091,0.47652,0.27896,1.67662,1.60158,0.01381,0,0,0,0,0.000536081,0.000536081,0.000536081,0.000268041,0.00107216
50,6111.06,1.6699,1.56743,0.01293,0.00041,0.00021,0,0.00427,0.56328,0.45229,0.47683,0.27896,1.67677,1.60055,0.01381,0,0,0,0,0.000520548,0.000520548,0.000520548,0.000260274,0.0010411
