epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/latent_balance_loss,train/latent_z_loss,train/latent_aux_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/latent_balance_loss,val/latent_z_loss,val/latent_aux_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
25,3040.92,1.6955,1.61832,0.01351,0.00074,0.00048,1e-05,0.00792,0.57098,0.44992,0.47713,0.28549,1.65929,1.60274,0.01341,0,0,0,0,0.000865839,0.000865839,0.000865839,0.00043292,0.00173168
26,3206.02,1.6902,1.61954,0.01345,0.0007,0.00042,1e-05,0.00742,0.56763,0.45306,0.47791,0.28619,1.6588,1.59794,0.01334,0,0,0,0,0.000855018,0.000855018,0.000855018,0.000427509,0.00171004
27,3316.33,1.69527,1.62436,0.01334,0.00074,0.00043,1e-05,0.00785,0.56532,0.46067,0.48097,0.28812,1.65367,1.59309,0.01335,0,0,0,0,0.000843851,0.000843851,0.000843851,0.000421925,0.0016877
28,3430.16,1.6878,1.61192,0.01332,0.00074,0.00043,1e-05,0.00783,0.56559,0.45927,0.4815,0.28867,1.65304,1.59398,0.01333,0,0,0,0,0.000832349,0.000832349,0.000832349,0.000416175,0.0016647
29,3552.11,1.66713,1.59342,0.01324,0.00073,0.00039,1e-05,0.00765,0.56117,0.45779,0.47869,0.28768,1.65314,1.59213,0.0133,0,0,0,0,0.000820525,0.000820525,0.000820525,0.000410262,0.00164105
30,3671.17,1.67257,1.58456,0.0132,0.00076,0.0004,1e-05,0.00798,0.55636,0.4603,0.4812,0.28905,1.65172,1.58562,0.0133,0,0,0,0,0.000808389,0.000808389,0.000808389,0.000404194,0.00161678
31,3855.57,1.67304,1.58892,0.01301,0.00068,0.0004,1e-05,0.00721,0.56931,0.45906,0.48236,0.28998,1.65216,1.58531,0.0133,0,0,0,0,0.000795954,0.000795954,0.000795954,0.000397977,0.00159191
32,3969.85,1.66855,1.58449,0.01301,0.00076,0.00045,1e-05,0.008,0.5677,0.45937,0.4822,0.29039,1.64978,1.58554,0.01326,0,0,0,0,0.000783231,0.000783231,0.000783231,0.000391616,0.00156646
33,4081.08,1.66533,1.58096,0.01295,0.00067,0.00038,1e-05,0.00707,0.56922,0.46326,0.48349,0.29012,1.64754,1.58565,0.01325,0,0,0,0,0.000770234,0.000770234,0.000770234,0.000385117,0.00154047
34,4192.02,1.65217,1.5722,0.01291,0.00074,0.00041,1e-05,0.00784,0.57573,0.45717,0.48382,0.29096,1.64795,1.58266,0.01325,0,0,0,0,0.000756976,0.000756976,0.000756976,0.000378488,0.00151395
35,4305.16,1.65254,1.56634,0.01296,0.00074,0.00037,1e-05,0.00777,0.57526,0.46017,0.48375,0.2909,1.64767,1.58119,0.01326,0,0,0,0,0.000743468,0.000743468,0.000743468,0.000371734,0.00148694
36,4469.58,1.6552,1.56715,0.01289,0.00076,0.00042,1e-05,0.008,0.57613,0.45696,0.48377,0.29083,1.64674,1.57979,0.01325,0,0,0,0,0.000729725,0.000729725,0.000729725,0.000364863,0.00145945
37,4580.7,1.64505,1.56055,0.01283,0.00057,0.00032,1e-05,0.00601,0.57447,0.4605,0.48351,0.29067,1.64549,1.57931,0.01324,0,0,0,0,0.000715761,0.000715761,0.000715761,0.00035788,0.00143152
38,4694.92,1.65038,1.56014,0.0127,0.00072,0.00037,1e-05,0.00754,0.57827,0.45667,0.48374,0.2913,1.64558,1.57734,0.01325,0,0,0,0,0.000701588,0.000701588,0.000701588,0.000350794,0.00140318
39,4805.86,1.64675,1.55149,0.01269,0.00067,0.00033,1e-05,0.00704,0.57571,0.46018,0.48432,0.29155,1.64654,1.57735,0.01326,0,0,0,0,0.000687222,0.000687222,0.000687222,0.000343611,0.00137444
40,4916.92,1.63824,1.55419,0.01263,0.00073,0.00037,1e-05,0.00763,0.57177,0.46111,0.48393,0.29076,1.6473,1.57474,0.01326,0,0,0,0,0.000672675,0.000672675,0.000672675,0.000336338,0.00134535
41,5083.78,1.63852,1.55355,0.01264,0.00063,0.00037,1e-05,0.00664,0.56133,0.46565,0.48343,0.29037,1.6468,1.57465,0.01325,0,0,0,0,0.000657963,0.000657963,0.000657963,0.000328982,0.00131593
42,5195.69,1.63361,1.5463,0.01264,0.00064,0.00035,1e-05,0.00673,0.56674,0.46339,0.48446,0.291,1.64634,1.57451,0.01325,0,0,0,0,0.000643101,0.000643101,0.000643101,0.00032155,0.0012862
43,5305.56,1.63287,1.54861,0.01256,0.00061,0.00033,1e-05,0.00642,0.57038,0.46224,0.48482,0.29119,1.64577,1.57445,0.01325,0,0,0,0,0.000628101,0.000628101,0.000628101,0.000314051,0.0012562
44,5420.03,1.63439,1.54083,0.01246,0.00061,0.00033,1e-05,0.00642,0.56543,0.46581,0.48454,0.29093,1.64513,1.57539,0.01324,0,0,0,0,0.000612981,0.000612981,0.000612981,0.00030649,0.00122596
45,5533.13,1.63759,1.53937,0.01252,0.00056,0.00034,1e-05,0.00595,0.56495,0.46469,0.48406,0.29041,1.64578,1.57523,0.01324,0,0,0,0,0.000597754,0.000597754,0.000597754,0.000298877,0.00119551
46,5696.79,1.62954,1.53487,0.01241,0.00051,0.00034,1e-05,0.00545,0.56326,0.46625,0.48478,0.29076,1.64549,1.57472,0.01324,0,0,0,0,0.000582435,0.000582435,0.000582435,0.000291218,0.00116487
47,5811.59,1.62199,1.5243,0.01237,0.00044,0.00034,0,0.00472,0.57516,0.46137,0.48505,0.29082,1.64612,1.57363,0.01326,0,0,0,0,0.00056704,0.00056704,0.00056704,0.00028352,0.00113408
48,5922.73,1.61856,1.52477,0.0124,0.0005,0.00035,1e-05,0.00535,0.57234,0.46553,0.48504,0.29081,1.6452,1.57521,0.01325,0,0,0,0,0.000551584,0.000551584,0.000551584,0.000275792,0.00110317
49,6032.78,1.61435,1.52193,0.01243,0.00046,0.00034,0,0.00498,0.57126,0.46615,0.48494,0.29076,1.64477,1.57643,0.01325,0,0,0,0,0.000536081,0.000536081,0.000536081,0.000268041,0.00107216
50,6148.52,1.61999,1.52574,0.01223,0.00042,0.00033,0,0.00455,0.57303,0.46586,0.48492,0.29082,1.64481,1.57673,0.01326,0,0,0,0,0.000520548,0.000520548,0.000520548,0.000260274,0.0010411
